brand,items_found
International Beverage Company IBC,596

Coca-Cola Company,100

XL Energy Drink Marketing,78

Island Beverages Maldives LTD,72

Rauch Fruchsafte GmbH and Co DG Int,27

Heineken,26

Nestle,22

Lion Brewery,17

Shweppes,8
