brand,items_found
Vitasoy,67

Coca-Cola,61

C'estbon,48

Watson's Drink,32

COOL Water,20

Master Kong,18

Otsuka,17

Suntory,5

Yakult,3

Uni-President,3

Mars,3

PepsiCo,2

Unilever,2

McDonald's,2

Nissin,1

Mondelez,1
