ocean,mismanaged_plastic_kg_day,percent_sand,percent_water,mismanaged_plastic_kg_sec,anim_interval_sec
Atlantic,14059387.372858351,20.627492138665968,79.37250786133403,162.72439088956426,6.145360228625267
Pacific,54526792.79094605,79.99999998671633,20.000000013283667,631.0971387840979,1.584542122828584
Indian,26576646.143147346,38.99242156512436,61.00757843487564,307.6000711012424,3.25097454113027
Mediterranean,8182698.332323113,12.005398318344685,87.99460168165531,94.70715662411011,10.558864141270446
